repo_full_name,sha,committed_at
ollama/ollama,26465fb85fea8d820506f4a7843193c1f259a979,2025-10-27T23:31:58Z
ollama/ollama,88236bc05fc1dbc251abfaf47105ab8d77c4e7e0,2025-10-30T20:22:00Z
ollama/ollama,76eb7d0fff04563ee89e253fc71a4cbf5d0f05f7,2025-10-30T20:19:21Z
ollama/ollama,f67a6df110cfa37157bb2f393f56b60c3eff3180,2025-10-30T18:29:00Z
ollama/ollama,75e75d9afea9175f8bd1f0b5fe8ad6e9efbf86ee,2025-10-30T17:51:37Z
ollama/ollama,ed78e127d0578ece5787bfbc6beb5191aa01edc6,2025-10-30T17:41:49Z
ollama/ollama,d432ade714156098eac42f633a3911a3cf09dd41,2025-10-30T17:33:19Z
ollama/ollama,06b3422d5f973ba9026333dc49f312d5d649629d,2025-10-30T17:32:45Z
ollama/ollama,cbe1cf06c44c6ff0901851c04b6bd8650ece7c5f,2025-10-30T17:14:39Z
ollama/ollama,0a2d92081bb6b6b2d3eab5908fce08cfcf736e1d,2025-10-29T22:14:28Z
ollama/ollama,c88647104d1621b5021d6e3ca18fb8a1f5cdd394,2025-10-29T18:50:56Z
ollama/ollama,05aff4a4f18ced0fe9989a7e8b0246e5c3ae08af,2025-10-29T18:07:28Z
ollama/ollama,0d140bd1af59def462a0d3fe61c89b468162b5e7,2025-10-29T18:03:43Z
ollama/ollama,93e45f0f0d3fbc28d23cc71a68f05249cd53c03f,2025-10-29T06:25:48Z
ollama/ollama,a342160803f4b9cbd85c2cdf411c265af224f385,2025-10-29T02:17:54Z
ollama/ollama,f6c29409dc0823fcb0b42e8138ea3e208d6b5edf,2025-10-29T02:09:07Z
ollama/ollama,7d25b9e194f106e9c2a5289dfde40077c0838b7d,2025-10-29T00:39:47Z
ollama/ollama,36d64fb5314327302ba25853f45d4b3c4d66c768,2025-10-28T23:57:27Z
ollama/ollama,d828517e787c34595ec9478fe9cda0554e831b3c,2025-10-28T23:20:02Z
ollama/ollama,14977a93506b853f07cc06fa50c211570435877a,2025-10-28T22:15:35Z
ollama/ollama,29f63f37c87e2c5a908bfb6b2c8b3320052e0bbe,2025-10-28T21:49:14Z
ollama/ollama,3d99d9779a2b095bfb1e5a025b990b835e89b829,2025-10-28T20:18:48Z
ollama/ollama,6d02a43a75cd3364b3c230e9070f1413e60f0d02,2025-10-28T20:04:31Z
ollama/ollama,5483497d7a2156c609e7903f680302b11fee40b9,2025-10-28T19:52:49Z
ollama/ollama,934dd9e19644c2c8152d3b256105078c8af3f626,2025-10-28T19:44:02Z
ollama/ollama,1188f408dd3c5d9739bd85c4df8250f4acb1b31f,2025-10-28T19:08:49Z
ollama/ollama,15c7d30d9a0732f19ec2eac137fb975bbc8f1966,2025-10-28T17:37:20Z
ollama/ollama,986231717482b8592105da4d1737d00aca53c14f,2025-10-28T07:15:46Z
ollama/ollama,ec9eb28f4c3481d58c6da38ee488cb8cd5379256,2025-10-28T02:54:08Z
ollama/ollama,1bdd81691063003e8be5a856942273bd7ca15acd,2025-10-27T22:14:19Z
ollama/ollama,5d347f6d6f6813895412846a240fc046d49c4817,2025-10-27T18:59:12Z
ollama/ollama,b97eb2b858509dfc9957829e954ded65d36d8bd7,2025-10-25T17:57:10Z
ollama/ollama,ad6f6a1d29f45a5c7266bcd7edb5671621e86810,2025-10-23T18:31:25Z
ollama/ollama,6723a40be61570ce15d2cc507a4412f8f83f0de1,2025-10-23T19:29:50Z
ollama/ollama,3258a89b6e4c2030ca47dfe51483e768cbd38b33,2025-10-23T18:20:02Z
ollama/ollama,1c093e97af54b3d78d54426ea5d05ef8c4e83ca0,2025-10-22T23:00:43Z
ollama/ollama,a8d9c2648e1ea7fb0b209d49d42b54ac000c06ea,2025-10-16T23:27:45Z
ollama/ollama,0334e67ffde8c06be8e890ef5b3c9ab13738cd5f,2025-10-22T18:34:27Z
ollama/ollama,e0ead1adee0a36f8aecf0df9747996354ee1ed8c,2025-10-22T18:27:44Z
ollama/ollama,d515aed6c3c23cc7830462c2b4055076e207fc9d,2025-10-22T01:12:14Z
ollama/ollama,5fe7ba1b9b1c7f4d67e1ff52adc7bd4285d0e01b,2025-10-20T23:47:05Z
ollama/ollama,d2b63c19b326a5bfeacdfd407a95cf706927e1a0,2025-10-20T23:42:18Z
ollama/ollama,94f110b35aaa774a797cde3ee16e7260ee46b855,2025-10-20T23:03:43Z
ollama/ollama,5d22953ba7913cde3f791ba4aa4ae6c55f3f56bf,2025-10-20T17:57:27Z
ollama/ollama,d245dffed838b03aadc213df95880d03b22a619c,2025-10-20T16:43:05Z
ollama/ollama,bc1a818fdce1f818e0ce84b543c191769df5abfe,2025-10-18T01:39:18Z
ollama/ollama,ba2253dc30552abc646e0b9f2ee2f6ea01248044,2025-10-18T00:13:16Z
ollama/ollama,68e04c7ff88dca128016f75dc5bbd2f794bd2028,2025-10-17T15:56:44Z
ollama/ollama,270679932f41d617c11f835c8639adade3c436ce,2025-10-16T23:39:30Z
ollama/ollama,65fb3ff49d361ea28f5a121df47c11ba782bd1d5,2025-10-16T23:37:32Z
ollama/ollama,e2a0b244358fc20bef26dc9fc893bad6fcbf2d50,2025-10-16T22:29:41Z
ollama/ollama,1813ff85a027d7d4d76761a2bf12c2198dfaa0cf,2025-10-16T20:07:41Z
ollama/ollama,b531777a668ad013a8792cfbffc13fbf48328b6c,2025-10-16T16:36:25Z
ollama/ollama,fe3ec8dbf031c872c101678a2fa5da438ee7dbfa,2025-10-16T16:09:48Z
ollama/ollama,c744134287788cef18a64f7c022fc7cfee9a8737,2025-10-16T16:07:35Z
ollama/ollama,4be41d2d4562b39712da8fee1e16ae1d81cf9697,2025-10-16T04:54:15Z
ollama/ollama,de670570c919f5c3e906b3beb91e9d2fc7ebe600,2025-10-16T04:53:38Z
ollama/ollama,201d93716e365766af734406df6b637207b75a63,2025-10-16T04:10:30Z
ollama/ollama,160cecc8e2c136d1647c34718a2a915c94ad07bc,2025-10-16T03:54:58Z
ollama/ollama,8b6e5baee71c6a1588cf062b150f229b2436e1d8,2025-10-15T21:18:01Z
ollama/ollama,75d17fc6c20514417193882de7a0ece75ee301d1,2025-10-15T18:52:14Z
ollama/ollama,8fafc8af77105030ce485c96c355dafce316ec24,2025-10-15T18:40:06Z
